Column,Era,author,filename,title,,url,
598,Medieval,Albertus Aquensis,hist9.txt,Historia Hierosolymitanae expeditionis: Liber IX,Albert of Aix-la-Chapelle/Albert of Aachen,http://thelatinlibrary.com/albertofaix/hist9.shtml,
468,Classical,Albius Tibullus,tibullus1.txt,Elegiae I,Tibullus,http://thelatinlibrary.com/tibullus1.html,
469,Classical,Albius Tibullus,tibullus2.txt,Elegiae II,Tibullus,http://thelatinlibrary.com/tibullus2.html,
470,Classical,Albius Tibullus,tibullus3.txt,Elegiae III,Tibullus,http://thelatinlibrary.com/tibullus3.html,
599,Medieval,Alcuinus Turonensis,cella.txt,[fredugis]: Cella Alcuini,Alcuin,http://thelatinlibrary.com/alcuin/cella.shtml,
600,Medieval,Alcuinus Turonensis,conflictus.txt,Conflictus Veris Et Hiemis,Alcuin,http://thelatinlibrary.com/alcuin/conflictus.shtml,
601,Medieval,Alcuinus Turonensis,epitaphium.txt,Epitaphium,Alcuin,http://thelatinlibrary.com/alcuin/epitaphium.shtml,
602,Medieval,Alcuinus Turonensis,luscinia.txt,De Luscinia,Alcuin,http://thelatinlibrary.com/alcuin/luscinia.shtml,
603,Medieval,Alcuinus Turonensis,propos.txt,Propositiones,Alcuin,http://thelatinlibrary.com/alcuin/propos.shtml,
604,Medieval,Alcuinus Turonensis,rec.txt,"Dilectissimo Aquilae Albinus Matricularius
Perpetuae Beatitudinis In Christo Salutem",Alcuin,http://thelatinlibrary.com/alcuin/rec.shtml,
605,Medieval,Alcuinus Turonensis,rhetorica.txt,Disputatio De Rhetorica,Alcuin,http://thelatinlibrary.com/alcuin/rhetorica.shtml,
606,Medieval,Alcuinus Turonensis,sequentia.txt,Sequentia De Sancto Michaele,Alcuin,http://thelatinlibrary.com/alcuin/sequentia.shtml,
607,Medieval,Alcuinus Turonensis,versus.txt,Versus De Cuculo,Alcuin,http://thelatinlibrary.com/alcuin/versus.shtml,
431,Neo-Latin,Alexander Smarius Crispus,smarius.txt,Carmina,Alexander Smarius Crispus,http://thelatinlibrary.com/smarius.html,
608,Classical,Ambrosius Mediolanensis,epist.txt,Ad Sororem Marcellinam,"Saint Ambrose, Bishop of Milan",http://thelatinlibrary.com/ambrose/epist.html,
609,Classical,Ambrosius Mediolanensis,epistvaria.txt,Epistulae Variae,"Saint Ambrose, Bishop of Milan",http://thelatinlibrary.com/ambrose/epistvaria.html,
610,Classical,Ambrosius Mediolanensis,hymns.txt,Hymni,"Saint Ambrose, Bishop of Milan",http://thelatinlibrary.com/ambrose/hymns.html,
611,Classical,Ambrosius Mediolanensis,mysteriis.txt,De Mysteriis,"Saint Ambrose, Bishop of Milan",http://thelatinlibrary.com/ambrose/mysteriis.html,
612,Classical,Ammianus Marcellinus,14.txt,Res Gestae: Liber XIV,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/14.shtml,
613,Classical,Ammianus Marcellinus,15.txt,Res Gestae: Liber XV,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/15.shtml,
614,Classical,Ammianus Marcellinus,16.txt,Res Gestae: Liber XVI,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/16.shtml,
615,Classical,Ammianus Marcellinus,17.txt,Res Gestae: Liber XVII,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/17.shtml,
616,Classical,Ammianus Marcellinus,18.txt,Res Gestae: Liber XVIII,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/18.shtml,
617,Classical,Ammianus Marcellinus,19.txt,Res Gestae: Liber XIX,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/19.shtml,
618,Classical,Ammianus Marcellinus,20.txt,Res Gestae: Liber XX,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/20.shtml,
619,Classical,Ammianus Marcellinus,21.txt,Res Gestae: Liber XXI,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/21.shtml,
620,Classical,Ammianus Marcellinus,22.txt,Res Gestae: Liber XXII,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/22.shtml,
621,Classical,Ammianus Marcellinus,23.txt,Res Gestae: Liber XXIII,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/23.shtml,
622,Classical,Ammianus Marcellinus,24.txt,Res Gestae: Liber XXIV,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/24.shtml,
623,Classical,Ammianus Marcellinus,25.txt,Res Gestae: Liber XXV,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/25.shtml,
624,Classical,Ammianus Marcellinus,26.txt,Res Gestae: Liber XXVI,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/26.shtml,
625,Classical,Ammianus Marcellinus,27.txt,Res Gestae: Liber XXVII,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/27.shtml,
626,Classical,Ammianus Marcellinus,28.txt,Res Gestae: Liber XXVIII,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/28.shtml,
627,Classical,Ammianus Marcellinus,29.txt,Res Gestae: Liber XXIX,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/29.shtml,
628,Classical,Ammianus Marcellinus,30.txt,Res Gestae: Liber XXX,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/30.shtml,
629,Classical,Ammianus Marcellinus,31.txt,Res Gestae: Liber XXXI,Ammianus Marcellinus,http://thelatinlibrary.com/ammianus/31.shtml,
8,Medieval,Auctor Incertus Carminis de Andecavi Abbate,andecavis.txt,Andecavis Abbas,,http://thelatinlibrary.com/andecavis.html,
9,Medieval,Andreas Bergomas,andreasbergoma.txt,Chronicon,Andrea da Bergamo,http://thelatinlibrary.com/andreasbergoma.html,
973,Medieval,Andreas Capellanus,capellanus1.txt,de Amore Liber I,Andrew the Chaplain,http://thelatinlibrary.com/capellanus/capellanus1.html,
974,Medieval,Andreas Capellanus,capellanus2.txt,de Amore Liber III,Andrew the Chaplain,http://thelatinlibrary.com/capellanus/capellanus2.html,
975,Medieval,Andreas Capellanus,capellanus3.txt,de Amore Liber III,Andrew the Chaplain,http://thelatinlibrary.com/capellanus/capellanus3.html,
248,Neo-Latin,Andreas Naugerius,navagero.txt,Lusus,Andrea Navagero,http://thelatinlibrary.com/navagero.html,
11,Medieval,Angilbertus,angilbert.txt,Versus De Bella Quae Fuit Acta Fontaneto,"Angilbert, Abbot of Saint-Riquier",http://thelatinlibrary.com/angilbert.html,
480,,Anonymus Valesianus,valesianus.txt,Index,,http://thelatinlibrary.com/valesianus.html,x
481,,Anonymus Valesianus,valesianus1.txt,Origo Constantini Imperatoris,,http://thelatinlibrary.com/valesianus1.html,
482,,Anonymus Valesianus,valesianus2.txt,Chronica Theodericiana,,http://thelatinlibrary.com/valesianus2.html,
18,Medieval,Anselmus Cantuariensis,anselmproslogion.txt,Proslogion,Saint Anselm of Canterbury,http://thelatinlibrary.com/anselmproslogion.html,
17,Medieval,Anselmus Cantuariensis,anselmepistula.txt,Epistula ad Urbanum Papam,Saint Anselm of Canterbury,http://thelatinlibrary.com/anselmepistula.html,
630,Classical,Apicius,apicius1.txt,de Re Coquinaria Liber I,Apicius,http://thelatinlibrary.com/apicius/apicius1.shtml,
631,Classical,Apicius,apicius2.txt,de Re Coquinaria Liber II,Apicius,http://thelatinlibrary.com/apicius/apicius2.shtml,
632,Classical,Apicius,apicius3.txt,de Re Coquinaria Liber III,Apicius,http://thelatinlibrary.com/apicius/apicius3.shtml,
633,Classical,Apicius,apicius4.txt,Re Coquinaria Liber IV,Apicius,http://thelatinlibrary.com/apicius/apicius4.shtml,
634,Classical,Apicius,apicius5.txt,de Re Coquinaria Liber V,Apicius,http://thelatinlibrary.com/apicius/apicius5.shtml,
19,Classical,Appendix Vergiliana,appverg.aetna.txt,Aetna,Appendix Vergiliana,http://thelatinlibrary.com/appverg.aetna.html,
20,Classical,Appendix Vergiliana,appverg.catalepton.txt,Catalepton,Appendix Vergiliana,http://thelatinlibrary.com/appverg.catalepton.html,
21,Classical,Appendix Vergiliana,appverg.ciris.txt,Ciris,Appendix Vergiliana,http://thelatinlibrary.com/appverg.ciris.html,
22,Classical,Appendix Vergiliana,appvergcomp.txt,Appendix Vergiliana,Appendix Vergiliana,http://thelatinlibrary.com/appvergcomp.html,
23,Classical,Appendix Vergiliana,appvergculex.txt,Culex,Appendix Vergiliana,http://thelatinlibrary.com/appvergculex.html,
25,Medieval,Archipoeta,archpoet.txt,Carmina,Archpoet,http://thelatinlibrary.com/archpoet.html,
740,Classical,Arnobius,arnobius1.txt,Adversus Nationes Liber I,Arnobius,http://thelatinlibrary.com/arnobius/arnobius1.shtml,
741,Classical,Arnobius,arnobius2.txt,Adversus Nationes Liber II,Arnobius,http://thelatinlibrary.com/arnobius/arnobius2.shtml,
742,Classical,Arnobius,arnobius3.txt,Adversus Nationes Liber III,Arnobius,http://thelatinlibrary.com/arnobius/arnobius3.shtml,
743,Classical,Arnobius,arnobius4.txt,Adversus Nationes Liber IV,Arnobius,http://thelatinlibrary.com/arnobius/arnobius4.shtml,
744,Classical,Arnobius,arnobius5.txt,Adversus Nationes Liber V,Arnobius,http://thelatinlibrary.com/arnobius/arnobius5.shtml,
745,Classical,Arnobius,arnobius6.txt,Adversus Nationes Liber VI,Arnobius,http://thelatinlibrary.com/arnobius/arnobius6.shtml,
746,Classical,Arnobius,arnobius7.txt,Adversus Nationes Liber VII,Arnobius,http://thelatinlibrary.com/arnobius/arnobius7.shtml,
26,Medieval,Arnulf,arnulf.txt,Arnulf of Lisieux: De Nativitate Domini,Arnulf of Lisieux,http://thelatinlibrary.com/arnulf.html,
373,Neo-Latin,Arthurus Rimbaud,rimbaud.txt,VER ERAT,Arthur Rimbaud,http://thelatinlibrary.com/rimbaud.html,
27,Classical,Asconius Pedianus,asconius.txt,ORATIONUM CICERONIS QUINQUE ENARRATIO,Asconius,http://thelatinlibrary.com/asconius.html,
28,Medieval,Asserius,asserius.txt,DE REBUS GESTIS AELFREDI,Asser,http://thelatinlibrary.com/asserius.html,
186,Medieval,Auctor Incertus,inquisitio.txt,"AN ELEVENTH-CENTURY INQUISITION OF ST. AUGUSTINE'S, CANTERBURY",,http://thelatinlibrary.com/inquisitio.html,
24,Medieval,Auctor Incertus [Bernard of Kilwinning],arbroath.txt,Declaratio Arbroathis,,http://thelatinlibrary.com/arbroath.html,
559,Medieval,Auctor Incertus Annalium Xantensium,xanten.txt,ANNALES XANTENSES QUI DICUNTUR,,http://thelatinlibrary.com/xanten.html,
12,Medieval,Auctor Incertus Annalum Regni Francorum,annalesregnifrancorum.txt,Annales Regni Francorum,,http://thelatinlibrary.com/annalesregnifrancorum.html,
13,Medieval,Auctor Incertus Annalum Vedastinorum,annalesvedastini.txt,Annales Vedastini,,http://thelatinlibrary.com/annalesvedastini.html,
50,Medieval,Auctor Incertus Brevis Chronici Northmannici,brevechronicon.txt,Breve Chronicon Northmannicum,,http://thelatinlibrary.com/brevechronicon.shtml,
56,Classical,Auctor Incertus Carminis Arvalis,carmenarvale.txt,Carmen Arvale,,http://thelatinlibrary.com/carmenarvale.html,
15,Medieval,Auctor Incertus Carminis de Martyrio Maccabaeorum,anon.martyrio.txt,Carmen de Martyrio Maccabaeorum,,http://thelatinlibrary.com/anon.martyrio.html,
57,Medieval,Auctor Incertus Carminis in Victoriam Pisanorum,carmeninvictoriam.txt,CARMEN IN VICTORIAM PISANORUM,,http://thelatinlibrary.com/carmeninvictoriam.html,
58,Classical,Auctor Incertus Carminis Saliaris,carmensaliare.txt,Carmen Saliare,,http://thelatinlibrary.com/carmensaliare.html,
55,Medieval,Auctor Incertus Carminum Buranorum,carm.bur.txt,Carmina Burana,,http://thelatinlibrary.com/carm.bur.html,
14,Medieval,Auctor Incertus De Ramis Cadunt Folia,anon.deramis.txt,De Ramis Cadunt Folia,,http://thelatinlibrary.com/anon.deramis.html,
60,Classical,Auctor Incertus Distichorum Catonis,cato.dis.txt,Disticha Catonis,,http://thelatinlibrary.com/cato.dis.html,
118,Medieval,Auctor Incertus Foederis Aeterni Fratrum,foedusaeternum.txt,Foedus Aeternum Fratrum,,http://thelatinlibrary.com/foedusaeternum.html,
133,Medieval,Auctor Incertus Gaudeamus Igitur,gaud.txt,Gaudeamus Igitur,,http://thelatinlibrary.com/gaud.html,
